id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
069f4b79-8a14-7088-8000-45aac6a6601d,Kojo Camara,male,0.71,12,child,NG,Nigeria,0.1,2026-05-01T14:24:24Z
069f4b79-940b-7995-8000-f8790233f31e,Femi Niki̩ma,male,0.79,30,adult,NG,Nigeria,0.43,2026-05-01T14:24:25Z
069f4b79-9b8d-7886-8000-56b3b68e2075,Richard Camara,male,0.87,31,adult,NG,Nigeria,0.7,2026-05-01T14:24:25Z
069f4b79-9b73-7b49-8000-a334224defa9,Emmanuel Tour̩,male,0.71,38,adult,NG,Nigeria,0.51,2026-05-01T14:24:25Z
069f4b79-9987-7209-8000-b329e3760059,Daniel Chukwu,male,0.71,60,senior,NG,Nigeria,0.23,2026-05-01T14:24:25Z
069f4b79-98bc-7db9-8000-58cced91b39b,David Compaor̩,male,0.77,65,senior,NG,Nigeria,0.15,2026-05-01T14:24:25Z
069f4b79-956d-7ca7-8000-ca65c9fb9a82,Dele Dao,male,0.83,70,senior,NG,Nigeria,0.4,2026-05-01T14:24:25Z
069f4b79-9553-78cc-8000-4a7f7ed248e2,Daniel Kabor̩,male,0.76,36,adult,NG,Nigeria,0.1,2026-05-01T14:24:25Z
069f4b79-9414-787d-8000-80bb8dd35027,Kwame Zongo,male,0.94,15,teenager,NG,Nigeria,0.22,2026-05-01T14:24:25Z
069f4b79-9366-7485-8000-f346284767a2,Chidi Igwe,male,0.86,19,teenager,NG,Nigeria,0.95,2026-05-01T14:24:25Z
069f4b79-92ca-7fc1-8000-6c7a4ee8dab0,Ama Gbagbo,male,0.79,40,adult,NG,Nigeria,0.45,2026-05-01T14:24:25Z
069f4b79-9184-7509-8000-15758ace519a,Richard Zinsou,male,0.8,53,adult,NG,Nigeria,0.52,2026-05-01T14:24:25Z
069f4b7e-608f-7a3d-8000-5eed7e947bcf,john,male,1.0,75,senior,NG,,0.08,2026-05-01T14:25:42Z
